comment,sentiment_scores,sentiment,subjectivity,word_count
"First mistake ""The Brain Produces Consciousness"". I thought David was more analytical than that? 🤔","{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.34}",Negative,0.41666666666666663,15
"Really, to begin by stating the obvious ""we don't know what consciousness is"", implies that there is consciousness. I believe that this is a hiluge trap the intellect falls into: the invention of concepts in its search for meaning, survival, excitement, etc. It's like saying ""We don't know what akfhufbdbxue is, so we're here looking for it. Guess what? The brain usually finds what it looks for, because that is its main function: to create subjective meaning","{'neg': 0.028, 'neu': 0.842, 'pos': 0.13, 'compound': 0.8176}",Positive,0.3208333333333333,81
34:00 diss incoming: T-15s,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,4
Creation is nothing but a product being a result of consciousness itself; descending energy. (Prof. Wilfred Leonard Bastiani),"{'neg': 0.0, 'neu': 0.769, 'pos': 0.231, 'compound': 0.4939}",Positive,0.0,18
consciousness is the manifestation of a functioning brain.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,8
"Steiner: ""As a Fact the Human Mind will never transcend the Reality that (s)he lives in"".  agree with that. Integration 'away from 'matter 'would help; so leave Qua-Phy for what it is. 
By the way; it seems that no one is reading all comments since it is tremendously silent of the direct relatives regarding the suggestions that are made to deal with other outside standers about the topic. Pity or Ego?","{'neg': 0.079, 'neu': 0.839, 'pos': 0.083, 'compound': 0.0731}",Positive,0.2041666666666667,72
Slap create consciousness.,"{'neg': 0.0, 'neu': 0.213, 'pos': 0.787, 'compound': 0.4019}",Positive,0.0,3
I think consciousness is just the sense of temporal awareness combined with all other senses.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.375,15
"Consciousness is nothing but the name of a ""condition"" that occurs when one's metabolism is working properly","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.1,18
Read indian philosophy to understand consciousness and matter,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.0258}",Positive,0.0,8
Sensory perception is created; consciousness is uncreated.,"{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.25}",Positive,0.0,7
"Piecewise replacing the brain with computers... What would be an effective ""I'm still here"" test? It would be immeasurably more than just vocalizing the words ""I'm still here"". We currently cannot express an effective test for still being ""the same"".","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.7351}",Positive,0.525,43
"The brain isn't a MACHINE, but it is a SYSTEM. Machines can be part of a system. Our mind can do machine-like work. But still, our neurons operate in a completely different way than electrical-based machines.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.6,37
Consciousness vs unconscious is light vs dark. Angel vs evil,"{'neg': 0.328, 'neu': 0.672, 'pos': 0.0, 'compound': -0.6597}",Negative,0.7000000000000001,10
Please call Swami Sarvapriyaananda !!,"{'neg': 0.0, 'neu': 0.581, 'pos': 0.419, 'compound': 0.4374}",Positive,0.0,4
"Can't limit light perception to black and white. White is by definition all colors. So the red cones in the eyes would be activated in the lab. And in white light, skin tone is not black and white. The BW scenario is not possible (neither is knowing everything) so the scenario breaks down. These reductio-ad-absurdum thought experiments come up short.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.32129629629629625,61
"I thought the consciousness was the soul: part brain, part heart, and part gut.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,14
"The answer is WATER, in case you were wondering. Water is the interlocutor between spirit and matter and it holds the incommensurable geometry of the pentagram.","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.2023}",Positive,0.0,26
39:01 Many orders of magnitude .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.5,5
Is this still an issue. . All living things have some definable conscious quality .,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.5,13
The milieu of interaction between us and the myriad tranducible attributes of the atomic complexes in itself may inhere a consciousness . That dialogue may imply a form of panpsychism.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,29
"First they need to agree on a definition of consciousness. We do not know what gravity, light, electricity are , many theories but nothing conclusive.","{'neg': 0.0, 'neu': 0.926, 'pos': 0.074, 'compound': 0.1901}",Positive,0.5111111111111111,24
"I read most of the book called The Origin of consciousness in the breakdown of the bicameral mind by Julian Jane years ago. It seems that awareness of self comes from self-reflection of two halves of the brain and that's actually when we started to be really conscious of ourselves, but I imagine consciousness is defined as self-awareness.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.3666666666666667,59
Probably the same thing that makes me live the scariest life.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.3125,11
"If consciousness is a controlled hallucination, the question arises as to who controls this hallucination. The brain cannot control it, as it is not even aware of the processes in its own neurons and synapses. The experience of consciousness seems to arise precisely at the point of impossible perception of physical processes in the brain.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.6385714285714286,56
"♪♫♥ - Very Interesting, thank you for sharing this - 𒀭","{'neg': 0.0, 'neu': 0.368, 'pos': 0.632, 'compound': 0.8211}",Positive,0.65,9
"The feeling of being.  First of all, the feeling of being.","{'neg': 0.0, 'neu': 0.75, 'pos': 0.25, 'compound': 0.25}",Positive,0.3333333333333333,11
""" If neurons can do it why can't silicone""?  What similarities are there between neurons and silicone? None, so why should silicone produce anything but what it already does ie basic computation at high speed. This is bs pr from the tech bros, the next big thing ie the next stock price pump.","{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.15299999999999997,53
Living creates consciousness as long as a human gets fed and cared for.,"{'neg': 0.0, 'neu': 0.671, 'pos': 0.329, 'compound': 0.5994}",Positive,0.25,13
Nice❤🎉,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,1
Counscious is fundamental to universe and counscious give reality to not locally real universe so counscious is fundamental to universe to become reality,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.30000000000000004,23
"I have a feeling that, in the absence of physical world and life, (""before"" big bang) there still exists consciousness. The moment I feel like this, I all of a sudden feel that there is no such ""thing"" like consciousness.","{'neg': 0.055, 'neu': 0.781, 'pos': 0.164, 'compound': 0.5106}",Positive,0.24857142857142858,40
