comment,sentiment_scores,sentiment,subjectivity,word_count
🔥 LAST 24 HOURS! Get your Custom GPT by joining the community: https://www.skool.com/new-society,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.06666666666666667,14
Pietro is providing a lot of free value to the community.  Hoping the universe pays him back his due!,"{'neg': 0.0, 'neu': 0.63, 'pos': 0.37, 'compound': 0.8313}",Positive,0.39166666666666666,19
"You should run this in a sandbox since an AI mistake coukd leak your data or kill your OS etc, intentionally or not. Unless you fully understand and review the code its generating, you could be one generation away from disaster.","{'neg': 0.274, 'neu': 0.726, 'pos': 0.0, 'compound': -0.9274}",Negative,0.0,41
"My biggest issue with Claude is it forgets instructions. I am leaning to code and have to constantly ask it to not provide code snippets, provide full code only and it forgets every other message unless i add to the chat ""NO SNIPPETS""","{'neg': 0.068, 'neu': 0.932, 'pos': 0.0, 'compound': -0.4466}",Negative,0.5645833333333333,43
How do I get a Claude Api key and pay for it to use Claude Enginner since it seem Antropic does not allow paying for Claude Api for personal use,"{'neg': 0.105, 'neu': 0.895, 'pos': 0.0, 'compound': -0.2654}",Negative,0.65,30
"i'm so bad i can't even follow the instruction and also tried to make chatgpt help me but i failed. i installed mingw64 cloned claude-engineer and i got stuck, i cannot pip install inside mingw64.... maybe i miss something.","{'neg': 0.274, 'neu': 0.681, 'pos': 0.045, 'compound': -0.8554}",Negative,0.4833333333333333,42
rate limits make this unproductive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,5
"7:17 that rumor is no rumor. That sounds like some kind of real-time vector-database browser, being able to see the decision-tree throughout the vector database unfold in ""real-time"" and/or capable of recording and replaying the exact steps and cloud thoughts its producing throughout the process.","{'neg': 0.045, 'neu': 0.852, 'pos': 0.103, 'compound': 0.4404}",Positive,0.54375,45
"I launched 3 projucts in an hour this weekend: a fretboard visualizer, a new portfolio ""handcrafted"", and a tool to take screenshots.  This is awesome.  How do you know if the changes you're making to the prompting is good or not?  I'd love to connect on Discord if you have somthing going.","{'neg': 0.107, 'neu': 0.742, 'pos': 0.15, 'compound': 0.3468}",Positive,0.6636363636363637,54
Does it keep your files and code private?,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.375,8
This a copy of GPT Engineer which exists for many months now ( at least 1 year old). Well done anyways,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.2732}",Positive,0.3666666666666667,20
"Between aider chat and this, whats better","{'neg': 0.0, 'neu': 0.674, 'pos': 0.326, 'compound': 0.4404}",Positive,0.5,7
"This tool is absolutely insane, thanks Pietro for creating it. And thanks David for this channel.","{'neg': 0.127, 'neu': 0.51, 'pos': 0.363, 'compound': 0.6771}",Positive,0.4666666666666666,16
great video thank you! I am not a coder I am fascinated by AI and I fully intend to continue with your channel I will be joining soon!,"{'neg': 0.086, 'neu': 0.673, 'pos': 0.242, 'compound': 0.6838}",Positive,0.75,28
"Very impressive and inspiring, thank you for sharing","{'neg': 0.0, 'neu': 0.251, 'pos': 0.749, 'compound': 0.8991}",Positive,1.0,8
Don't have access to a Claude API key here in EU.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,1.0,12
Dadusak please upload 🙏🙏😭😭 on your minecraft channel😭😭,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.3182}",Positive,0.0,8
Alright I've finally got time to watch and yes this tool seems amazing. Thanks for the hard work.,"{'neg': 0.054, 'neu': 0.504, 'pos': 0.442, 'compound': 0.875}",Positive,0.6604166666666667,19
Now try with 1000 lines of code.,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Neutral,0.0,7
